"domanda","risposta_0","risposta_1","risposta_2","risposta_3","corretta"
"Cos'è la catena alimentare?","Un sistema di distribuzione del cibo","La sequenza di organismi che si nutrono l'uno dell'altro","Una rete di supermercati biologici","Il ciclo di vita di una pianta","1"
"Quale delle seguenti pratiche NON è ecosostenibile?","Usare borse riutilizzabili","Raccolta differenziata","Bruciare rifiuti in giardino","Usare il compostaggio","2"
"Cosa sono i combustibili fossili?","Carburanti prodotti da fossili di dinosauro","Fonti di energia formate da resti di organismi vissuti milioni di anni fa","Materiali usati per creare plastica riciclata","Gas prodotti dai vulcani","1"
"Quante tonnellate di CO2 produce in media un italiano all'anno?","Circa 1 tonnellata","Circa 6 tonnellate","Circa 20 tonnellate","Circa 30 tonnellate","1"
"Cos'è il permafrost?","Un tipo di roccia vulcanica","Il suolo permanentemente ghiacciato nelle regioni polari e subpolari","Un ghiacciaio alpino protetto","Una corrente oceanica fredda","1"
"Quale paese è il maggiore emettitore di CO2 al mondo?","Stati Uniti","India","Cina","Russia","2"
"Cosa si intende per 'piogge acide'?","Piogge con temperatura inferiore a 0°C","Precipitazioni con pH basso causate da inquinanti atmosferici","Piogge cariche di sali minerali","Acqua piovana filtrata attraverso terreni calcarei","1"
"Quale materiale impiega circa 400 anni per degradarsi in natura?","Carta","Legno","Plastica","Metallo","2"
"Cosa sono le energie rinnovabili?","Energie prodotte da combustibili nucleari","Fonti energetiche che si rigenerano naturalmente","Energie prodotte dal riciclaggio dei rifiuti","Carburanti sintetici a basse emissioni","1"
"Qual è l'obiettivo principale dell'Accordo di Parigi del 2015?","Eliminare l'energia nucleare entro il 2050","Limitare l'aumento della temperatura globale a 1,5-2°C rispetto all'era preindustriale","Ridurre i rifiuti plastici negli oceani del 50%","Proteggere il 30% delle foreste mondiali","1"
"Cos'è un pannello fotovoltaico?","Un pannello che raccoglie il calore del sole per riscaldare l'acqua","Un dispositivo che converte la luce solare in elettricità","Un sistema di filtraggio dell'aria solare","Un pannello che riflette la luce solare per raffreddare gli edifici","1"
"Cosa si intende per 'specie invasiva'?","Una specie in via di estinzione","Una specie protetta da leggi internazionali","Una specie introdotta in un ecosistema dove non è originaria e causa danni","Una specie che migra stagionalmente","2"
"Qual è il principale problema ambientale causato dall'allevamento intensivo?","Il consumo eccessivo di elettricità","Le emissioni di metano e l'uso massiccio di acqua e suolo","L'inquinamento acustico nelle zone rurali","La produzione di rifiuti plastici","1"
"Cosa si intende per 'eutrofizzazione'?","L'arricchimento eccessivo di nutrienti in un corpo d'acqua","Il processo di purificazione naturale dei fiumi","La formazione di ghiaccio nei laghi alpini","La crescita di alghe nelle foreste pluviali","0"
"Quale dei seguenti è un esempio di energia non rinnovabile?","Energia idroelettrica","Energia del vento","Energia da biomassa","Energia dal carbone","3"
"Cosa sono i 'rifiuti RAEE'?","Rifiuti agricoli e ambientali ed ecologici","Rifiuti di apparecchiature elettriche ed elettroniche","Rifiuti radioattivi ad alta emissione energetica","Residui aziendali ad alto impatto ambientale","1"
"Quanta acqua dolce è disponibile sulla Terra rispetto all'acqua totale?","Circa il 50%","Circa il 20%","Circa il 10%","Circa il 3%","3"
"Cosa si intende con 'economia circolare'?","Un sistema economico basato sullo scambio di beni tra paesi","Un modello economico in cui i rifiuti vengono riutilizzati come risorse","Un tipo di commercio agricolo locale","Un sistema bancario sostenibile","1"
"Quale specie animale è considerata fondamentale per l'impollinazione?","Farfalla monarca","Ape mellifera","Lombrico","Coccinella","1"
"Qual è il principale materiale con cui è fatta la plastica?","Silicio","Derivati del petrolio","Cellulosa vegetale","Carbonato di calcio","1"
"Cosa si intende per 'desertificazione'?","La creazione di deserti artificiali per scopi turistici","Il processo per cui terreni fertili diventano aridi e improduttivi","La migrazione delle dune di sabbia verso le città","La riduzione delle precipitazioni stagionali","1"
"Quali sono i principali componenti dell'aria che respiriamo?","Ossigeno 78% e azoto 21%","Azoto 78% e ossigeno 21%","CO2 50% e ossigeno 50%","Azoto 50% e CO2 50%","1"
"Cosa si intende per 'carbon footprint' (impronta di carbonio)?","La quantità di carbone estratto da un paese","La quantità di CO2 emessa da un individuo o attività","Il colore del fumo emesso dai camini industriali","La superficie bruciata dagli incendi boschivi","1"
"Quale dei seguenti oceani è il più grande?","Oceano Atlantico","Oceano Indiano","Oceano Pacifico","Oceano Artico","2"
"Cosa produce una centrale idroelettrica?","Calore usando l'acqua calda del sottosuolo","Elettricità sfruttando la forza dell'acqua in movimento","Acqua potabile attraverso la desalinizzazione","Gas naturale dalla decomposizione dell'acqua","1"
"Cosa si intende per 'foresta primaria'?","Una foresta piantata artificialmente","Una foresta mai o minimamente disturbata dall'uomo","La prima foresta protetta da legge in un paese","Una foresta giovane in fase di crescita iniziale","1"
"Quale fenomeno causa la formazione delle barriere coralline?","Il raffreddamento delle correnti oceaniche","L'accumulo di sedimenti sul fondale marino","L'attività di organismi marini chiamati coralli","L'erosione delle rocce vulcaniche sottomarine","2"
"Cosa succede al ghiaccio artico quando le temperature globali aumentano?","Si espande verso l'equatore","Si consolida e diventa più spesso","Si scioglie, contribuendo all'innalzamento del livello del mare","Rimane invariato perché è già al di sotto dello zero","2"
"Qual è la principale funzione della foresta amazzonica per il clima globale?","Produrre piogge acide che fertilizzano i terreni","Assorbire grandi quantità di CO2 e produrre ossigeno","Regolare le correnti oceaniche atlantiche","Riflettere la radiazione solare verso lo spazio","1"
"Cosa si intende per 'acquifero'?","Un lago artificiale creato da una diga","Uno strato geologico sotterraneo che contiene acqua","Un impianto di depurazione delle acque","Un canale di irrigazione naturale","1"
"Quale tipo di rifiuto si butta nel bidone dell'organico?","Bottiglie di vetro","Avanzi di cibo e scarti vegetali","Giornali e riviste","Lattine di alluminio","1"
"Cosa si intende per 'estinzione di massa'?","La scomparsa di una singola specie animale","La scomparsa di numerose specie in un breve periodo geologico","La riduzione della popolazione umana mondiale","La distruzione di un intero ecosistema forestale","1"
"Qual è la differenza tra clima e tempo meteorologico?","Non c'è differenza, sono sinonimi","Il clima è la condizione atmosferica di breve periodo, il tempo è di lungo periodo","Il tempo è la condizione atmosferica di breve periodo, il clima è la media su lunghi periodi","Il clima riguarda solo le temperature, il tempo anche le precipitazioni","2"
"Cosa sono i 'microplastiche'?","Tipi di plastica biodegradabile","Frammenti di plastica di dimensioni inferiori a 5 mm","Plastica prodotta da microrganismi","Plastica riciclata di prima qualità","1"
"Quale animale marino è gravemente minacciato dall'inquinamento da plastica?","Merluzzo atlantico","Tartaruga marina","Sardina europea","Gambero rosso","1"
"Cos'è il compostaggio?","Un metodo di smaltimento dei rifiuti per incenerimento","La decomposizione controllata di rifiuti organici per produrre fertilizzante","Un tipo di raccolta differenziata dei metalli","Il trattamento chimico delle acque reflue","1"
"Quale paese ha la maggiore superficie forestale al mondo?","Brasile","Canada","Russia","Indonesia","2"
"Cosa significa 'km 0' in campo alimentare?","Cibo senza calorie","Alimenti prodotti e venduti localmente per ridurre i trasporti","Cibo prodotto senza l'uso di pesticidi","Alimenti con basso contenuto di carboidrati","1"
"Quale materiale è al 100% riciclabile all'infinito senza perdere qualità?","Carta","Plastica","Alluminio","Legno","2"
"Cosa è la 'Great Pacific Garbage Patch'?","Una riserva marina nel Pacifico","Un'enorme zona di accumulo di plastica nell'oceano Pacifico","Un vulcano sottomarino nel Pacifico","Una corrente oceanica ricca di nutrienti","1"
"Cosa misura la scala Richter?","La velocità del vento","L'intensità delle eruzioni vulcaniche","La magnitudo dei terremoti","La profondità degli oceani","2"
"Quale percentuale del cibo prodotto nel mondo va sprecata?","Circa il 5%","Circa il 15%","Circa il 33%","Circa il 50%","2"
"Cosa si intende per 'spillover zoonotico'?","L'inquinamento degli allevamenti da agenti chimici","Il trasferimento di un patogeno da animali all'uomo","La migrazione di specie selvatiche nelle città","Il contagio tra allevamenti intensivi","1"
"Cosa produce la fermentazione anaerobica dei rifiuti organici?","Acqua distillata","Azoto fertilizzante","Biogas utilizzabile come energia","Ossigeno puro","2"
"Qual è il principale vantaggio dell'agricoltura biologica?","Produce rese maggiori rispetto all'agricoltura convenzionale","Non utilizza pesticidi e fertilizzanti chimici di sintesi","Richiede meno acqua dell'agricoltura tradizionale","Elimina completamente le emissioni di CO2","1"
"Cosa si intende per 'acidificazione degli oceani'?","L'aumento della salinità del mare causato dall'evaporazione","La riduzione del pH degli oceani dovuta all'assorbimento di CO2","L'inquinamento degli oceani da acidi industriali","Il processo naturale di mineralizzazione dell'acqua marina","1"
"Quale delle seguenti è una conseguenza del riscaldamento globale?","Aumento della superficie ghiacciata ai poli","Riduzione dei fenomeni meteorologici estremi","Innalzamento del livello del mare","Diminuzione della temperatura degli oceani","2"
"Cosa si intende per 'greenwashing'?","Un metodo di pulizia ecologica degli edifici","La pratica di dichiarare falsamente prodotti o aziende come ecosostenibili","Il riciclaggio dei materiali da costruzione","La tinteggiatura di edifici con colori naturali","1"
"Quale fonte rinnovabile sfrutta le differenze di temperatura tra superfici d'acqua?","Energia mareomotrice","Energia osmotica","Energia termica degli oceani (OTEC)","Energia ondomotrice","2"
"Quanti anni impiega circa una bottiglia di vetro a decomporsi in natura?","10 anni","100 anni","1000 anni","Non si decompone praticamente mai","2"
"Cosa si intende per 'habitat'?","L'alimentazione tipica di una specie animale","L'ambiente naturale in cui vive una specie","Il comportamento migratorio degli uccelli","La zona protetta all'interno di un parco naturale","1"
"Quale fenomeno climatico è causato dal riscaldamento delle acque del Pacifico?","La Niña","Il monsone asiatico","El Niño","Il ciclone tropicale","2"
"Cos'è un 'corridoio ecologico'?","Un sentiero protetto all'interno di un parco nazionale","Una zona di collegamento tra aree naturali per permettere la migrazione delle specie","Un canale artificiale per la gestione dell'acqua","Una fascia di vegetazione intorno alle città","1"
"Quale gas viene usato nella refrigerazione e contribuisce all'effetto serra?","Ossigeno","Azoto","HFC (idrofluorocarburi)","Metano naturale","2"
"Cosa si intende per 'specie endemica'?","Una specie presente in tutto il mondo","Una specie originaria ed esclusiva di una determinata area geografica","Una specie introdotta dall'uomo in un territorio","Una specie che migra ogni anno su lunghe distanze","1"
"Quale iniziativa internazionale consiste nel piantare alberi su scala globale?","Green New Deal","Trillion Trees Initiative","Earth Charter","Blue Carbon Project","1"
"Cosa si intende per 'lisciviazione'?","L'evaporazione dell'acqua dal suolo in estate","Il trascinamento di sostanze solubili nel suolo da parte dell'acqua piovana","La filtrazione dell'acqua potabile","La condensazione dell'umidità sulle foglie","1"
"Qual è la principale fonte di inquinamento luminoso?","Le eruzioni vulcaniche","Le luci artificiali notturne di città e industrie","I pannelli solari che riflettono la luce","Le torce degli impianti petroliferi","1"
"Cosa si intende per 'sequestro del carbonio'?","La combustione controllata del carbone nelle centrali","Il processo di cattura e stoccaggio della CO2 dall'atmosfera","La tassazione sulle emissioni industriali di CO2","La riduzione del contenuto di carbonio nei combustibili","1"
"Quale delle seguenti azioni riduce maggiormente la propria impronta di carbonio?","Usare tazze riutilizzabili al bar","Riciclare tutta la carta","Ridurre il consumo di carne rossa","Spegnere le luci quando si esce da una stanza","2"
"Cos'è la 'zona morta' marina?","Una parte del fondo oceanico senza luce solare","Un'area marina con bassi livelli di ossigeno che non supporta la vita","Una zona priva di correnti oceaniche","Una parte dell'oceano con temperature inferiori a -2°C","1"
"Cosa si intende per 'sostenibilità ambientale'?","La tutela esclusiva degli animali in pericolo di estinzione","La capacità di usare le risorse naturali senza comprometterne la disponibilità futura","La produzione di energia solo da fonti rinnovabili","Il divieto di costruire nelle aree protette","1"
"Quale organo delle Nazioni Unite si occupa dell'ambiente?","UNESCO","FAO","UNEP","OMS","2"
"Cosa misura l'indice di qualità dell'aria (AQI)?","La velocità del vento nelle aree urbane","La concentrazione di inquinanti nell'aria","La temperatura media delle città","Il livello di umidità atmosferica","1"
"Cosa si intende per 'simbiosi' in biologia?","La lotta per la sopravvivenza tra specie diverse","Una relazione stretta tra due specie diverse","La riproduzione asessuata degli organismi unicellulari","La migrazione delle specie verso climi più favorevoli","1"
"Quale delle seguenti è la principale causa di perdita di biodiversità?","Il cambiamento climatico","L'inquinamento dell'aria","La distruzione e frammentazione degli habitat","L'introduzione di specie invasive","2"
"Cosa si intende per 'torbiera'?","Un tipo di terreno vulcanico ricco di minerali","Un ecosistema umido ricco di torba che accumula grandi quantità di carbonio","Una zona costiera soggetta a frequenti inondazioni","Una foresta di conifere nelle zone subartiche","1"
"Quale metallo prezioso viene utilizzato nelle celle a combustibile a idrogeno?","Oro","Argento","Platino","Titanio","2"
"Cosa si intende per 'bioindicatore'?","Un sensore elettronico per il monitoraggio ambientale","Un organismo la cui presenza o assenza indica la qualità ambientale","Un database delle specie in pericolo","Un indice matematico per calcolare la biodiversità","1"
"Quale tipo di energia sfrutta la differenza di salinità tra acqua dolce e acqua salata?","Energia termica degli oceani","Energia mareomotrice","Energia osmotica","Energia ondomotrice","2"
"Cosa si intende per 'footprint idrico'?","Il consumo di acqua per produrre un bene o un servizio","La superficie bagnata dalle alluvioni in un anno","Il volume di acqua evaporata dagli oceani","La quantità di acqua piovana raccolta sui tetti","0"
"Cosa produce l'effetto albedo?","Assorbe il calore solare nelle superfici scure","Riflette la radiazione solare verso lo spazio","Aumenta le temperature nelle foreste equatoriali","Riduce l'evaporazione degli oceani","1"
"Quale nazione ha dichiarato la natura 'soggetto di diritto' nella sua Costituzione?","Norvegia","Ecuador","Costa Rica","Nuova Zelanda","1"
"Cosa si intende per 'economia dei donut' (Kate Raworth)?","Un modello economico basato sull'abbondanza alimentare","Un modello che bilancia i bisogni umani con i limiti planetari","Una teoria sulla distribuzione circolare della ricchezza","Un approccio all'economia agricola sostenibile","1"
"Quale delle seguenti è la definizione di 'resilienza ecologica'?","La capacità di un ecosistema di mantenere biodiversità elevata","La capacità di un ecosistema di assorbire disturbi e riorganizzarsi mantenendo la propria funzione","La resistenza di un ecosistema alle specie invasive","La velocità di riproduzione delle specie chiave","1"
"Cosa misura il Planetary Boundaries Framework (Rockström et al.)?","Il PIL verde dei paesi sviluppati","I limiti entro cui la Terra può reggere le attività umane in modo sicuro","La quantità di risorse naturali disponibili per ogni paese","La velocità di riscaldamento globale per continente","1"
"Cosa si intende per 'overshoot day' (Giornata del Sovrasfruttamento)?","Il giorno in cui si raggiunge la produzione massima di energia solare","Il giorno in cui l'umanità ha consumato tutte le risorse che la Terra può rigenerare in un anno","La data limite per ridurre le emissioni di CO2","Il giorno in cui si celebra la biodiversità mondiale","1"
"Quale tecnologia viene usata per produrre idrogeno verde?","Gassificazione del carbone","Elettrolisi dell'acqua con energia rinnovabile","Reforming del gas naturale","Fermentazione anaerobica della biomassa","1"
"Cosa si intende per 'Nature-based Solutions' (NbS)?","Tecnologie artificiali che imitano i processi naturali","Azioni che si ispirano e si supportano sulla natura per affrontare sfide sociali e ambientali","Soluzioni farmacologiche derivate da piante medicinali","Sistemi di irrigazione ispirati agli ecosistemi acquatici","1"
"Quale delle seguenti città è considerata un esempio di eccellenza nella mobilità sostenibile urbana?","Los Angeles","Dubai","Amsterdam","Las Vegas","2"
